publication_date,news_section,travel_departure_date,travel_duration,travel_arrival_date,travel_departure_port,travel_port_of_call_list,travel_arrival_port,ship_type,ship_name,cargo_list,master_role,master_name,parsed_text
1851-12-10,E,1851-12-04,5dias,1851-12-09,Charleston,nan,La Habana,"berg, amer.",Somers,"con arroz, A! D. S. C. Burnham y comp.",cap.,Watson,"De Charleston en 5 dias berg, amer. Somers, cap. Watson, ton. 111, con arroz, A! D. S. C. Burnham y comp."
1851-12-10,E,1851-12-06,3dias,1851-12-09,Wilmington,nan,La Habana,berg. ing.,Ansdale,"con inadoras, a D. S. C. Burnham v comp.",ep.,Dormand,"De Wilmington en 3 dias berg. ing. Ansdale, ep. Dormand, ton. 144, con inadoras, a D. S. C. Burnham v comp."
1851-12-10,E,1851-12-02,7dias,1851-12-09,New-Port,nan,La Habana,frag. am.,P. A. Hasard,"con viveres, A  D. S. C. Burnham y comp De Portland en 16 dias frag. am. Elizabeth Leavitt, capit. Gooding, tor. 297, con maderas y viveres, al capitau. A puestas del Sol, no quedaba buque A  la vista.",cap.,Gardmer.,"De New-Port en 7 dias frag. am. P. A. Hasard, cap. Gardmer. ton. 219, con viveres, A  D. S. C. Burnham y comp De Portland en 16 dias frag. am. Elizabeth Leavitt, capit. Gooding, tor. 297, con maderas y viveres, al capitau. A puestas del Sol, no quedaba buque A  la vista."
1851-12-11,E,1851-11-20,20dias,1851-12-10,Bath,nan,La Habana,frag. am.,Messenger,"460, oon envases, & D.S. C. Burnham y comp.",cap.,Pinkham.,"De Bath en 20 dias frag. am. Messenger, cap. Pinkham. tu. 460, oon envases, & D.S. C. Burnham y comp."
1851-12-11,E,1851-12-02,8dias,1851-12-10,"F h De New-York""",nan,La Habana,frag. peruana,Olga,con arroz. A! D. F. Alvarez y comp.,cap.,Jenckes.,"F h De New-York en 8 dias frag. peruana Olga, cap. Jenckes. 1 tom.23, con arroz. A! D. F. Alvarez y comp."""
1851-12-12,E,1851-12-08,3dias,1851-12-11,Charlerton,"Savannah,Cayo-Hueso",La Habana,vapor am.,Isabel,"con arros, A! los Sres. Drake, H. y comap.-Pasag. 38 para esta plasa y 207 para California.",cap.,Rollins,"e Charlerton, Savannah y Cayo-Hueso en 3 dias vapor am. Isabel, cap. Rollins, ton. Itis, con arros, A! los Sres. Drake, H. y comap.-Pasag. 38 para esta plasa y 207 para California."
1851-12-12,E,1851-11-26,15dias,1851-12-11,Bangor,nan,La Habana,gol. m.,General Venzio,"con envases, A  lus Sres. Morison, 1.y e up.",cap.,Mureb,"De Bangor en 15 dias gol. m. General Venzio, cap. Mureb, ton. 131, con envases, A  lus Sres. Morison, 1.y e up."
1851-12-12,E,1851-11-29,12dias,1851-12-11,Searsport,nan,La Habana,berg. am.,T. P. Perkins,"ey, ton. 161, cun electos, A! los Sres. Morison, Dy oup. De Buenos Aires en 64 dias frag. sarda Esperanza, capitant Scapti, ton. 22, con tasnjo, A! los Sres. Balbiani, S. y comp. De Santander y Kivadeo en 89 dias frag esp. Tuya, capit. Roig, ton. 270, con barina, A! D. 1. Pesant y comp-Pasag. 32 De Boston on 12 dias berg. am: Catharine & Mary, capit. Warren, ton. 158, con envases, A  D. C. Tyng.",cap.,Gil,"De Searsport en 12 dias berg. am. T. P. Perkins, cap. Gil key, ton. 161, cun electos, A! los Sres. Morison, Dy oup. De Buenos Aires en 64 dias frag. sarda Esperanza, capitant Scapti, ton. 22, con tasnjo, A! los Sres. Balbiani, S. y comp. De Santander y Kivadeo en 89 dias frag esp. Tuya, capit. Roig, ton. 270, con barina, A! D. 1. Pesant y comp-Pasag. 32 De Boston on 12 dias berg. am: Catharine & Mary, capit. Warren, ton. 158, con envases, A  D. C. Tyng."
1851-12-12,E,1851-12-08,3dias,1851-12-11,Fallriver,nan,La Habana,berg apa.,F. Pratt,"con buoyer, a los res. Brake. H. y comp.",ep,Bringkhaw,"De Fallriver en 3 dias berg apa. F. Pratt, ep Bringkhaw, ton. 197, con buoyer, a los res. Brake. H. y comp."
1851-12-12,E,1851-10-09,63dias,1851-12-11,Minachien,nan,La Habana,frag. am.,Jasper,"con efectos, A  D L. Garcia.-Pasag. 3.",cap.,Young,"De Minachien en 63 dias frag. am. Jasper, cap. Young, ton. 305, con efectos, A  D L. Garcia.-Pasag. 3."
1851-12-14,E,1851-12-10,3dias,1851-12-13,New-Orleans,nan,La Habana,vapor am.,Philadelphia,"con dinero y correspondencia, A!los Sres. Drake, II. y comp.-Parag. 201.",cap.,Brown,"e New-Orleans en 3 dias vapor am. Philadelphia, cap. Brown, ton. 1200, con dinero y correspondencia, A!los Sres. Drake, II. y comp.-Parag. 201."
1851-12-14,E,1851-10-11,63dias,1851-12-13,Barcelona,nan,La Habana,pol. esp.,Dorotea,"y comp.-Pasig 3. De Trinidad pail. de S. M. Teresita, su comandante el te niente de navio D Isaac Diaz Labiaga.",e.,Itionr,"De Barcelona en 63 dias pol. esp. Dorotea, cap. PagA(c)s, ton. 208, con frutos, A! los Sree. Itionr, H. y comp.-Pasig 3. De Trinidad pail. de S. M. Teresita, su comandante el te niente de navio D Isaac Diaz Labiaga."
1851-12-16,E,1851-12-09,6dias,1851-12-15,San Juan de Nicaragua,nan,La Habana,vapor am.,Iniel Webster,"on lastre, a los Sres. Drake, H. vcomp.-Paeng. 410.",cap.,Baldwin,"e San Juan de Nicaragua en 6 dias vapor am. Iniel Webster, cap. Baldwin, ton. 1035, on lastre, a los Sres. Drake, H. vcomp.-Paeng. 410."
1851-12-16,E,1851-12-01,14dias,1851-12-15,Cartagena,nan,La Habana,pail. ing.,Gauntlet,"coa cacao y cueros, A! D. J. Pesant y comp.",cap.,Deker,"De Cartagena en 14 dias pail. ing. Gauntlet, cap. Deker, ton. 80, coa cacao y cueros, A! D. J. Pesant y comp."
1851-12-16,E,1851-10-12,64dias,1851-12-15,Bilbao,nan,La Habana,berg. erp.,Paquote,"apit Manene, ton. 280, con, harina, & D. J. Encauriza.-Pasag. 12 De Boston en 18 dias frag, sun. Sun Beau, cap Lineoni, ton 190, con envares y viveres, A  los Sres. Drake, H. y comp Diciembre 15-l'e Chagres en 5 dias vapor amer. Georgia, p. Porter, ton. 3000, cou 1.500.000 y oorrespondencis, A  los Drake, H. y cou-Pasag. 767.",e,Limpias,"De Bilbao en 64 dias berg. erp. Paquote de Limpias, capit Manene, ton. 280, con, harina, & D. J. Encauriza.-Pasag. 12 De Boston en 18 dias frag, sun. Sun Beau, cap Lineoni, ton 190, con envares y viveres, A  los Sres. Drake, H. y comp Diciembre 15-l'e Chagres en 5 dias vapor amer. Georgia, p. Porter, ton. 3000, cou 1.500.000 y oorrespondencis, A  los Drake, H. y cou-Pasag. 767."
1851-12-16,E,1851-10-14,62dias,1851-12-15,.De Barcelona,nan,La Habana,gol. cap.,Culebra,"84 dias berg. esp. Gallardo, cap. Mon, ten. 164; son mercancias, & 1). J. Artis.",p.,De Amberes,".De Barcelona en 62 dias gol. cap. Culebra, capit. Ventura, tom. 122, con frutos, A! los Sros. SamA! y comp.
De Amberes en 84 dias berg. esp. Gallardo, cap. Mon, ten. 164; son mercancias, & 1). J. Artis."
1851-12-16,E,1851-10-12,64dias,1851-12-15,Santander,nan,La Habana,frag. erp.,Santos,"con harina, & D. P Martinos.-Pasag. 4.",cap.,Muniategui,"De Santander en 64 dias frag. erp. Santos, cap. Muniategui, to 250, con harina, & D. P Martinos.-Pasag. 4."
1851-12-16,E,1851-11-15,30dias,1851-12-15,Vernorux,"Campeche,Sisal",La Habana,berg. osp.,Mur.,"162, con efectos, & D. M Sautelions a Pag. 5.",p.,Esonlsa,"De Vernorux, Campeche y Sisal en 30 dias berg. osp. Mur. tin, mp. Esonlsa, tou. 162, con efectos, & D. M Sautelions a Pag. 5."
1851-12-16,E,1851-10-12,64dias,1851-12-15,l Havre,nan,La Habana,"berg, esp.",Susans,"184, con mercancias, & D. J. A Irigoyen.",cap.,Mendicolan. de,"Del Havre en 64 dias berg, esp. Susans, cap. Mendicolan. de, ten. 184, con mercancias, & D. J. A Irigoyen."
1851-12-16,E,1851-11-30,15dias,1851-12-15,Trinidad,nan,La Habana,berg. cap.,Corzo,"con frutos, A! D. A. de la Torriente.",cap,Cagigal,"De Trinidad en 15 dias berg. cap. Corzo, cap Cagigal, ton 18. con frutos, A! D. A. de la Torriente."
1851-12-16,E,1851-10-19,57dias,1851-12-15,Mallorca,nan,La Habana,berg. eap.,Cid,"con frutos, & los Sres. SamA! y comp",cap,SacristA!,"De Mallorca en 57 dias berg. eap. Cid, cap SacristA!, ton 182 con frutos, & los Sres. SamA! y comp"
1851-12-16,E,1851-12-09,6dins,1851-12-15,New-York,nan,La Habana,vapor am,Empire City,"en lastre, A! los Sres. Drake, H y coup.",cap,Leede,"De New-York en 6 dins vapor am Empire City, cap Leede tea/1751, en lastre, A! los Sres. Drake, H y coup."
1851-12-17,E,1851-12-06,10dias,1851-12-16,New-Orleans,nan,La Habana,berg. americano,Adams Gray,"con vAveres, A! los seBores Drake, H. y comp.-Pasag 2.",cap.,Schneider,"e New-Orleans en 10 dias berg. americano Adams Gray, cap. Schneider, ton 113, con vAveres, A! los seBores Drake, H. y comp.-Pasag 2."
1851-12-17,E,1851-12-12,4dins,1851-12-16,New-Orleans,nan,La Habana,gol. em.,Fairy,"con harins, & D. F. Alvarez y comp-Pasag 4.",cap.,Silver.,"De New-Orleans en 4 dins gol. em. Fairy, cap. Silver. ton. 181, con harins, & D. F. Alvarez y comp-Pasag 4."
1851-12-17,E,1851-12-09,7dias,1851-12-16,New-Orleans,nan,La Habana,frag. cap.,Mozart.,"A las quedaban por bail. un berg. ing. y otro esp., y por sotav. gol. ata.",capitan,-Pasag.,"De New-Orleans en 7 dias frag. cap. Mozart. capit. Puig, ten. 481, con tabaco, al capitan -Pasag. 3,
A las quedaban por bail. un berg. ing. y otro esp., y por sotav. gol. ata."
1851-12-18,E,1851-12-05,12dias,1851-12-17,los Cayos de S. Felipe,nan,La Habana,berg. ing.,Mary,"con efectos, A! los seA+-ores Crawford y Echarte.-Pagag. 4, pertenecientes A! la tripula.cion del berg. ing. Baracoa, que naufragA3 sobre aquellos cayos el 18 de octubre, navegando de Mantague A! Glasgow.",cap:,Forest,"e los Cayos de S. Felipe en 12 dias berg. ing. Mary, cap: Forest, ton. 128, con efectos, A! los seA+-ores Crawford y Echarte.-Pagag. 4, pertenecientes A! la tripula.cion del berg. ing. Baracoa, que naufragA3 sobre aquellos cayos el 18 de octubre, navegando de Mantague A! Glasgow."
1851-12-18,E,1851-12-12,5dias,1851-12-17,Mobila,nan,La Habana,gol. am.,Beneva,"con tablas, A! los Sres. Koig, S. y comp.",cap.,Many,"De Mobila en 5 dias gol. am. Beneva, cap. Many, ton. 143, con tablas, A! los Sres. Koig, S. y comp."
1851-12-18,E,1851-10-14,64diss,1851-12-17,Barcelona,nan,La Habana,pol. exp.,Moniquita,"con frutos, A  los Sres. Fontanil s y Llanus.-Pasa geros 2.",cap.,Flores,"De Barcelona en 64 diss pol. exp. Moniquita, cap. Flores, ton. 165, con frutos, A  los Sres. Fontanil s y Llanus.-Pasa geros 2."
1851-12-18,E,1851-12-13,4dias,1851-12-17,New-Orleans,nan,La Habana,berg. am.,Mary Elizabeth,"con vAveres, A  D. JotA(c) de los Reyes. Pasag, 1.",cap.,Mac Connell,"De New-Orleans en 4 dias berg. am. Mary Elizabeth, cap. Mac Connell, ton. 124, con vAveres, A  D. JotA(c) de los Reyes. Pasag, 1."
1851-12-18,E,1851-12-14,3dias,1851-12-17,Cardenas,nan,La Habana,frag. ing.,S. Vicent,"Graver, ton. 275, en lastre, al capitan.",e,Planter,"De Cardenas en 3 dias frag. ing. S. Vicente Planter, capit. Graver, ton. 275, en lastre, al capitan."
1851-12-18,E,1851-12-06,11dias,1851-12-17,Veracruz,nan,La Habana,gol. ap.,Carisima,con efectos. A! D. M. Santelices.-Parag. 3.,cap.,Tigero,"De Veracruzen 11 dias gol. ap. Carisima, cap. Tigero, tn. 90, con efectos. A! D. M. Santelices.-Parag. 3."
1851-12-19,E,1851-10-24,55dias,1851-12-18,l Havre,nan,La Habana,"berg, esp.",Unica Hija,"con mercancAas, a los Sres. Mangus-do gs. Dy comp.",cap.,AsteguAa,"el Havre en 55 dias berg, esp. Unica Hija, m cap. AsteguAa, ton. 150, con mercancAas, a los Sres. Mangus-do gs. Dy comp."
1851-12-19,E,1851-10-18,61dins,1851-12-18,"SU
De Barcelona",nan,La Habana,"gol, esp.",Safo,"163, con frutos, A! los Sros, SainA! y comp.- Pasag. 7.",cap.,Arion,"SU
De Barcelona en 61 dins gol, esp. Safo, cap. Arion, tonel. 163, con frutos, A! los Sros, SainA! y comp.- Pasag. 7."
1851-12-19,E,1851-11-26,22dias,1851-12-18,Wiscassett,nan,La Habana,berg. am.,Tornado,"con maderar, A! U. S. C. Burnham y comp.",cap.,M'Carty:,"De Wiscassetten 22 dias berg. am. Tornado, cap. M'Carty: ton. 185, con maderar, A! U. S. C. Burnham y comp."
1851-12-19,E,1851-11-15,33dias,1851-12-18,Terranova,nan,La Habana,borg. ing.,Iris,"con bacalao, A! los Sres. Drake. II. y comp, Apuestas dol Sol quedaban por barl. dos frag. y por sotav. uas, todas mercantes sin reconocer.",cap.,Night,"De Terranova en 33 dias borg. ing. Iris, cap. Night, ton. 123, con bacalao, A! los Sres. Drake. II. y comp, Apuestas dol Sol quedaban por barl. dos frag. y por sotav. uas, todas mercantes sin reconocer."
1851-12-20,E,1851-12-07,12dias,1851-12-19,Filadelfia,nan,La Habana,"frag, am.",Elizabeth J.,"con mercaucias y viveres, a D. F. Alvares y comp.-Pasag 7",cap.,Brooks,"e Filadelfia en 12 dias frag, am. Elizabeth J. cap. Brooks, ton. 166, con mercaucias y viveres, a D. F. Alvares y comp.-Pasag 7"
1851-12-20,E,1851-10-20,60dins,1851-12-19,Barcelona,nan,La Habana,pol. esp.,Silencio,con frutor. A! los Sres. SamA! v comp.,cap.,Maristany,"De Barcelona en 60 dins pol. esp. Silencio, cap. Maristany, ton. 134, con frutor. A! los Sres. SamA! v comp."
1851-12-20,E,1851-11-24,25dias,1851-12-19,Bath,nan,La Habana,berg. am.,Richmond,"el 149, con envases, A  les res Storey, S. y comp -El 22 del pasado hallA!ndose en lat. N. 38Adeg y long. O. 54Adeg tuvo que arrojar al agua alguna curga A! causa de un fuerte tiempo del. 8E. con chubasco y mar gruess.",cap.,Blair.,"De Bath en 25 dias berg. am. Richmond, cap. Blair. tonel 149, con envases, A  les res Storey, S. y comp -El 22 del pasado hallA!ndose en lat. N. 38Adeg y long. O. 54Adeg tuvo que arrojar al agua alguna curga A! causa de un fuerte tiempo del. 8E. con chubasco y mar gruess."
1851-12-20,E,1851-12-01,18dias,1851-12-19,Bath,nan,La Habana,berg am.,Arolus,"con envases, A! D. S. C. Burnham y comp.",cap,Ballard.,"De Bath en 18 dias berg am. Arolus, cap Ballard. ton. 198, con envases, A! D. S. C. Burnham y comp."
1851-12-20,E,1851-12-13,6dias,1851-12-19,Savannah,nan,La Habana,berg. am.,Robert B.. Lawton,"oun arroz, A! D. S. Burnham y comp. A puestas del Sol no quedaba buque A  la vista",cap.,Gardner,"De Savannah en 6 dias berg. am. Robert B.. Lawton, cap. Gardner, ton. 198, oun arroz, A! D. S. Burnham y comp. A puestas del Sol no quedaba buque A  la vista"
1851-12-23,E,1851-10-03,80dias,1851-12-22,Santander,nan,La Habana,borg. osp.,Diana,"125, con harina, al espitun..",cap.,Menurio,"De Santander en 80 dias borg. osp. Diana, cap. Menurio, tom 125, con harina, al espitun.."
1851-12-23,E,1851-10-13,70dins,1851-12-22,Greenock,nan,La Habana,berg. ing.,Demerara,"con carbon, al capitan.",cap.,Hynn,"De Greenock en 70 dins berg. ing. Demerara, cap. Hynn, ton. 224, con carbon, al capitan."
1851-12-23,E,1851-12-21,1dia,1851-12-22,CabaA+-as,nan,La Habana,berg. min.,Emeline,"con mieles, & D. S. C. Burahadi y comp.",cap.,Leebs,"De CabaA+-as en 1 dia berg. min. Emeline; cap. Leebs, ton. 166, con mieles, & D. S. C. Burahadi y comp."
1851-12-24,E,1851-11-10,43dias,1851-12-23,o Amberes,nan,La Habana,feng belga,Bourse,"con mercancAas, A! D. E. Meert y comb.",cap.,Van Copenhaley,"o Amberes en 43 dias feng belga Bourse d'Anvers. cap. Van Copenhaley, ton. 235, con mercancAas, A! D. E. Meert y comb."
1851-12-24,E,1851-12-10,13dias,1851-12-23,Vernerus,nan,La Habana,gol. ing.,Zante Packet,"en lastre, A  los Sres Crawford y Echarte.",cap.,Judg:,"De Vernerus en 13 dias gol. ing. Zante Packet, cap. Judg: ton. 192, en lastre, A  los Sres Crawford y Echarte."
1851-12-24,E,1851-12-06,17dias,1851-12-23,Barcelona,nan,La Habana,frag. esp,Curra,"con frutos, A! los Sres. SamA! y comp.-Pasag. 55.",cap.,Sanchez,"De Barcelona en 17 dias frag. esp Curra, cap. Sanchez, tn. 21 con frutos, A! los Sres. SamA! y comp.-Pasag. 55."
1851-12-24,E,1851-10-27,57dias,1851-12-23,l Havre,nan,La Habana,frag. franc.,Gustave,1.,p.,-Paangeros,"Del Havre en 57 dias frag. franc. Gustave, capit. Sels. ton. 265, con mercancias, a los Sres. Mangoaga, D. y comp.-Paangeros 2.
1."
1851-12-24,E,1851-10-27,57dins,1851-12-23,Gijon,Puerto Rico,La Habana,frag. esp.,Villa,"Pando. ton. 290, con frutos, A  los Sres, Ceballos y Ku-o bira. Parag. 173.",e,Gijon,"De Gijon y Puerto Rico en 57 dins frag. esp. Villa de Gijon cap. Pando. ton. 290, con frutos, A  los Sres, Ceballos y Ku-o bira. Parag. 173."
1851-12-24,E,1851-10-24,60dias,1851-12-23,:Cadis,nan,La Habana,"frag, esp.",Dians,"con frutos, A! los Sres, sobrinos de D. J. Gomez y comp.-Pa-l sageros 17.",cap.,Mora,"De:Cadis en 60 dias frag, esp. Dians, cap. Mora, ton. 238, con frutos, A! los Sres, sobrinos de D. J. Gomez y comp.-Pa-l sageros 17."
1851-12-24,E,1851-11-12,41dias,1851-12-23,Canarias,Pto. Rico,La Habana,frag. cap.,Las Palmas,"con frutos, a D. Lucas Padron.-Pa#geros 209.",ap.,Arocena,"De Canarias y Pto. Rico en 41 dias frag. cap. Las Palmas, eap. Arocena, ton. 333, con frutos, a D. Lucas Padron.-Pa#geros 209."
1851-12-24,E,1851-11-05,48dias,1851-12-23,CA!diz,nan,La Habana,berg. esp.,Sabina,"158, oon frutos, A! los Sres. Rebuelta, D. y comp.-Pasag. 2 De CA!diz en 47 dias frag. cap. BA(c)tics, cap. Villar, ton. 223, cos fratos, A! los Sres. sobrinos de D. J. Gomez y comp.-Pa abgeros 6.",cap.,Fenech,"De CA!diz eu 48 dias berg. esp. Sabina, cap. Fenech, tonel. 158, oon frutos, A! los Sres. Rebuelta, D. y comp.-Pasag. 2 De CA!diz en 47 dias frag. cap. BA(c)tics, cap. Villar, ton. 223, cos fratos, A! los Sres. sobrinos de D. J. Gomez y comp.-Pa abgeros 6."
1851-12-24,E,1851-12-13,10dias,1851-12-23,Wilmington,nan,La Habana,berg. am.,Ellen Hayden,"berg. esp. Continels, cap. Arteta, ton. 258, con mercaucias, a lor Sres. Me. Gregoir y comp A puestas del Sol entraban una frag. y, un berg. espaA+-oles, y no quedaba bugte A  la vista.",p. De,Liverpool,"De Wilmington en 10 dias berg. am. Ellen Hayden, capit. Smith, ton. 170, con maderas, a D. S. C Burnham y comp. De Liverpool on 48 dias berg. esp. Continels, cap. Arteta, ton. 258, con mercaucias, a lor Sres. Me. Gregoir y comp A puestas del Sol entraban una frag. y, un berg. espaA+-oles, y no quedaba bugte A  la vista."
1851-12-25,E,1851-10-25,60dias,1851-12-24,Mallorca,nan,La Habana,frag. esp.,Balear,"con frutos, A! D. J. A. Pesant comp. De Burdeos en 56 dias berg. esp. Gerardo, cap Uriola, ton. 112, con mercancias, A  los Sres. Mangonga, D. y comp. Do Searsport en 20 dias berg. am. Trieste, cap. Sausford, ton, 248, con envases, A  D. S. C. Burnham y comp.",cap.,Colom,"e Mallorca en 60 dias frag. esp. Balear, cap. Colom, ton. 546, con frutos, A! D. J. A. Pesant comp. De Burdeos en 56 dias berg. esp. Gerardo, cap Uriola, ton. 112, con mercancias, A  los Sres. Mangonga, D. y comp. Do Searsport en 20 dias berg. am. Trieste, cap. Sausford, ton, 248, con envases, A  D. S. C. Burnham y comp."
1851-12-25,E,1851-10-19,66dins,1851-12-24,Barcelona,nan,La Habana,pol. esp.,Concepcion,"con frutos, A! los Sres. SamA! y comp-Pasageros 25. De Glasgow en 42 dias frag. esp. Conchita, cap. Arans, ton. 277, con mercancias, A! los Sres. Robertson y comp. De New York en 13 dias frag. amer. Childe Harold, cap. Olmstead, ton. 291, cou mercancias, A! los Sres, Burnham y comp. Pas geros 1.",cap.,Mauri,"De Barcelona en 66 dins pol. esp. Concepcion, cap. Mauri, ton. 129, con frutos, A! los Sres. SamA! y comp-Pasageros 25. De Glasgow en 42 dias frag. esp. Conchita, cap. Arans, ton. 277, con mercancias, A! los Sres. Robertson y comp. De New York en 13 dias frag. amer. Childe Harold, cap. Olmstead, ton. 291, cou mercancias, A! los Sres, Burnham y comp. Pas geros 1."
1851-12-25,E,1851-12-04,20dias,1851-12-24,Boston,nan,La Habana,berg. amor.,Francis Lord,"con envases, al capitan.",cap.,Glading,"De Boston en 20 dias berg. amor. Francis Lord, cap. Glading, ton 197, con envases, al capitan."
1851-12-25,E,1851-10-18,67dias,1851-12-24,Bilbao,nan,La Habana,berg. esp.,Claudio,"De Balize en 4 dias vapor ing. Derwent, capr Wells, tonel. 545, con efectos, al Sr. consul inglA(c)s.aPasag. 2.","o,",S. y,"De Bilbao en 67 dias berg. esp. Claudio, cap. BriA+-as, ton. 122, con harina, A  los Sres Pardo, S. y comp-Pasageros.2. De Balize en 4 dias vapor ing. Derwent, capr Wells, tonel. 545, con efectos, al Sr. consul inglA(c)s.aPasag. 2."
